Data;Moderada
12/08/2021;-0,00298
11/08/2021;-0,00062
10/08/2021;-0,00057
09/08/2021;-0,00083
06/08/2021;0,00212
05/08/2021;-0,00160
04/08/2021;-0,00256
03/08/2021;0,00240
02/08/2021;0,00116
30/07/2021;-0,00766
29/07/2021;0,00003
28/07/2021;0,00245
27/07/2021;-0,00340
26/07/2021;0,00037
23/07/2021;-0,00237
22/07/2021;0,00081
21/07/2021;0,00126
20/07/2021;0,00259
19/07/2021;-0,00306
16/07/2021;-0,00118
15/07/2021;-0,00095
14/07/2021;0,00150
13/07/2021;0,00089
12/07/2021;0,00255
09/07/2021;0,00047
08/07/2021;-0,00290
07/07/2021;0,00344
06/07/2021;-0,00363
05/07/2021;-0,00099
02/07/2021;0,00377
01/07/2021;-0,00149
30/06/2021;-0,00085
29/06/2021;-0,00005
28/06/2021;0,00128
25/06/2021;-0,00299
24/06/2021;0,00267
23/06/2021;0,00039
22/06/2021;-0,00124
21/06/2021;0,00272
18/06/2021;-0,00079
17/06/2021;-0,00373
16/06/2021;-0,00096
15/06/2021;-0,00043
14/06/2021;0,00192
11/06/2021;-0,00160
10/06/2021;-0,00034
09/06/2021;0,00019
08/06/2021;-0,00089
07/06/2021;0,00027
04/06/2021;0,00195
02/06/2021;0,00327
01/06/2021;0,00381
31/05/2021;0,00074
28/05/2021;0,00280
27/05/2021;0,00201
26/05/2021;0,00200
25/05/2021;-0,00168
24/05/2021;0,00187
21/05/2021;0,00017
20/05/2021;0,00154
19/05/2021;-0,00066
18/05/2021;-0,00188
17/05/2021;0,00302
14/05/2021;0,00231
13/05/2021;0,00175
12/05/2021;-0,00597
11/05/2021;0,00272
10/05/2021;-0,00031
07/05/2021;0,00473
06/05/2021;0,00096
05/05/2021;0,00301
